text,prop_label,hate_label,hate_fine_grained_label
"ت  لوبتحبني قولها قدام للعالم كله لد لعلن
بحبك
أنا قلت للعالم كله مش ليا ما أنت العالم بتاعي
يآلموكوس",0,0,1
الاشياء اللتي تكرهها قد تكون سبب في نجاتك يوما ما,0,0,1
"إنجازات السيسي عاملة زي الشيطان

مايشوفهاش غير الحمير",1,1,3
"أنت إلى أين ؟

إلى الجحيم، هل تريدين الذهاب؟",0,0,0
"ليه كده يا أمى
لما تكون دي بنت خالتك وامك تقلك انا رضعتها معاك",0,0,1
لما استناه ٦ ساعات يخلص شغل عشان يكلمني ويخلص ويقولي يلا نامي بقي ..,0,0,1
"حجر والمومري زعلانين ليش قدلهم محابيس 3اشهرومحد رضا يخرجهم 

الإعلاميين الذي محابيس من 201:",0,0,1
"أهم حاجة في البحث ميكونش مقتبس من الكتاب الجامعي 
البحث بتاعي :
البحث
كتاب الجامعة",0,0,1
"لمايكون فاضل ساعتين ع المغرب والاقي بطني بتوجعني
يارب اكون حامل",0,0,1
"المادة د سهله هذاكرها بالليل
بالليل
بص ياباسا البطنية دي تحرك ايدك عليها كدة تبقي فاتحة اداكراقا dعاماا
تحركها النحية التانية تبقي غامقة",0,0,1
"الصحاب بيبقي بينهم سيم وبيفهمو بعض قدام الناس من غير ما يتكلموا


صاحبي بعد ساعه وانا بغمزله عشان يفهم:
ايه ياصاحبي بتغمز ليه",0,0,1
"لما تكوني عرو سة وتجيبي 250 فوطة وتلاقيه بيمسح ايده في الستاره
العروسة",0,0,1
"لما تاخد ابوك وتروح تتقدم للى بتحبها والمغرب يآذن وتطلب تتوضا عشان تصلى

ابوك

خلي بالك المغرب تلات ركعات",0,0,1
"بصي خديه واحده واحده كدا وخليكي هاديه عليه 
she :
شكلك تعبان متيجي البيت اغذيك",0,0,1
"جالنا ضيوف وماما مش موجوده فى البيت وبابا قالى ادخلى اعمليلنا حاجه:

*انا لما ادخل المطبخ *",0,0,1
"تعالوا شيلوا الصحون عند الحريم
٧٤٤",1,1,3
"لما حدا يبعتلي رسالة ويمسحها ؛
=انا :

شوفتها على فكرة",0,0,1
"الا قولى يا حاج هوالراجل بيفضل اى نوع من الستات

اى نوع غير اللى معاه",1,0,1
"أنا بقرأ للرافعي والمنفلوطي والمتنبي وزُهير وجويدة وبخيت وأنت بتقرأ لمين؟
مين دول ههه
قومٌ إذا جَالَسْتهم صَدِئَتْ بِقُربِهِمُ العقول",1,0,1
"Heshau Raroul
٤ ،٧
احنا لاذم نفط يوم مع بعض
٧٠
5C!FENSH0T 770ولقال
اخباد الجيم الئ المفروض ننذله من 2013 ايه ؟",0,0,1
"أنا مخنوقة جدًا هقوم أ ..


 - هتعيطي صح؟ 

-- لا هقوم أكل.
",0,0,1
"انا خلاص هنام بدري النهارده.
""انا الساعه ٤ الفجر""",0,0,1
"لما الاهتمام يجيلك من الشخص الغلط
سهيلة انا بحبك
غور من وشي ياض",0,0,1
"وعهد الله يا جدعان حاسس ان فى حد بيحبنى بس مكسوف يقولى عشان فاكرنى مرتبط
",0,0,1
- وليه أعلق هدومى فى الدولاب ما دام أرض الله واسعه*,1,0,1
"بحبك ياستموني مهما الناس لاموني 

ايه رأيك فى الجواز

 الجواز عامل زي القفا الواحد مش بيحس بيه إلا بعد ما يخده",1,0,1
"ماكانت ماشية يا ولاد الناس وبتروحوا بنص جنيه وترجعوا بنص جنيه 5
48&$`",1,0,1
"*الطالب* اذاكر من اليوتيوب 
ضباع وقت
*الطالب* اذاكر من الكتاب
الامتحانات من بره المنهج 
*الطالب* اخد دروس!؟
هقفل السناتر
*الطالب* مذاكرش
هتسقط",1,0,1
"واخرة الواطن ايه مع الحكو مة واللى بتعمله
مفاجعىء
bath inofaBea
خازوق شفاف ٠٠٠ 546 عموه ما يتشاف",1,0,0
"بقى على أذان الفجر ٣ دقايق
انا :",0,0,1
"انا مش هموتك عشان الموت راحه ليكي انا هاخدك معايا البيت وانا نازل اجازة # الممر
٢ ",1,1,2
"*واحد عطس*
مش هتقولي يرحمكم الله ؟
ماهو يرحمكم الله فعلا",0,0,1
"لما تروح تتقدم ويسألوا صاحبك عليك:
",0,0,1
"لما تروح توريها واحده حلوه وتقولها دي بطل عشان تبدأ تغير 
هي :
ايه النسوان الجامده دي وريني كدا",0,0,1
انا بعد ماطلعت محاميه وقولت للقاضي خلاص انت صح وانا غلط عشان مليش خلق اتناقش..,0,0,1
"لما تكون سهران مش لاقى حاجة تعملها وتلاقى النت سريع
جون انا هنا ياجون
",0,0,1
"ولو مراتك اتمل لل_ طانت فج الشغل وقالتل تان عثنويه
3ما اجيب آكل جاهز 9انا داجع عشان ر4 عشان معملنش نل",0,0,1
لماهوا شباك العربيه يطير شعرك,0,0,1
"لسه صاحيه من النوم وبسأل على الفطار
 ماما :
",0,0,1
"ف المستقبل لما صحاب جوزي يتصلو بيه عشان ينزلهم 
انا :",0,0,1
اقسم بالله العظيم انا سنجل ومش خاربها زي مانتو فاكرين.!!,0,0,1
"هاني دورلي ع عاطف

عمو ضياء

 الجزء الرابع #٤",0,0,1
"
انا حاليًا بعيش فتره اسمها ""انا فيا اللي مكفيني"" وبتعامل مع الناس والعلاقات بمبدأ كونوا زي ما تكو نوا بس المهم بعيد عني✋️",0,0,0
"راحت للحمام وخلتني مستني اللبن عشان ميفورش 
الحب افعال وليس اقوال.",0,0,1
حطي ليا ولاخواتي متحرمهمش من حاجه,0,0,1
"قولنا ميت مره الكرسي يبقي ضهر ٥ للحيطه_
",0,0,1
"لما ارجع الاكس بعد مخزوقني مرتين...
قلبي
ب تحس كده مش هو",0,0,1
"عبدربه
خطاب بدون أي اخطآء
عبدربه 
اود ان اعربلكم رئيس مجلس النواب والأخ رئيس مجلس الوزراء والأخوه المستشارين",1,0,1
"أخيثة
مصملق مديوليد آنا  وزملائ الوزراء لا نناص لتحسبن محنة الموان
[ سجا اتثوار س ٥ لامم مجدح لجحدما",1,0,0
"يجماعه خلاص مش هكلم بنات تاني
إي دا واحدة دقة حواجبها تاتو انا نقطة ضعفي ورنيش الجزم",0,0,1
"صانة ميمز
محمة ع4را ٥ 
بعدن ; امن ت عدن ضمن ااقرى عاتبا ضط الام /https //adgng0د,n4t/n٤13/501047
واحد ناي داخل عزبة 
تقا7 ش7ناة براف مواطثين عديمي التقميل",1,0,1
"لما حد يتاوب قدامي وأنا قاعدة بذاكر..

طب طب افرض نمت دلوقتي يا أخي؟
",0,0,1
"القدس: لن اخاف من اسرائيل لان العرب قادمو ن
 العرب :",1,0,0
"م6 مه}
البئث عا9زف مجل
ملجود
دمثم خفيف
م9ج9د
لاومانسئ
موجود
عينو متشوفش ل هيا",0,0,1
"ما تكون شايل ماده وتدخل تشوف النتيجه بعد ما اتعدلت تلاق نفسك شايل 2
لو عملت كمان ريفريش هاخد امتياز صح6",0,0,1
"صحبتي مضايقه ومش طايقه نفسها 
انا من غير سبب
عاوزه ارتبط ",0,0,1
"Lamar
مش هرتاح الا اما افش غلي",0,0,1
"قاعد مع أمي وهزرنا شوية وضحكنا وحكيتلها شويه حاجات والجو كويس

انا ل أمي :
تاخدي ال 12 ج دول و تديني 200ج صحيحه",0,0,1
"لما انهج وانا طالع  السلم من تانى دور

خلاص يا زينب ضاع شبابك وحل عليكي تعب السنين",0,0,1
انا مش فاهم أيوتها حاجة,0,0,1
"لما ألاقي حلل ع البوتجاز ، بعد ما أخلص غسيل المواعين
انا هحط فيها مايه علشان تبوش",0,0,1
فات الميعاد... يلا في داهيه الواحد يقلع هدومة ويكمل نوم بلا خروج بلا فرهده . !!,0,0,1
قل للذي رحل ... ايه يعني غرامك ودعني..ايه يعني فارقني  لا ارجعلي.. اه يا ليل,0,0,1
لما انا اروح كندا والاقى المصريين كلهم هناك انا كده استفدت ايه,0,0,1
"رجعت من برا وبغسل وشي والماسكرا هببت عيني عادي
No one literally no  one: 

انت اييييييييه
مش كفاية عليك تجرحنى حرام عليك",0,0,1
"خان
أنا كالنكم توقفوا م مصد 6 شهود بس
>7آ0 مانر
٦ ٥ ،
اه م *
جععى للل @ هلهود خلصوا
>مآن
خلدص أقعدوا",1,0,1
اشهر الوسائل لعقاب التلميذ عندما يخطئ,1,1,2
يعني عشان أنا متجوز وعندي عيلين أبقى مرتبط.. اتقى الله با شيخة ,0,0,1
"الوادى
انا زيى زيك بالظبط كنت نايم علي الكنبة صحيت لقيت نفسي علي السرير
SUPLSHULUFHCIAL
الوادى
ومش عارف انا جيت هنا ازاي",0,0,1
"رفيقي لما يصير محامي 
",0,0,1
"صوره  بعنوان :
لما يحكوا الكبار الصغار بيطلعوا برا ",0,0,1
"البنات : هو انت ليه رغم الظروف اقوى من اي حاجه بتسكرك ؟ -عشان انا تنحه
@v2792",0,0,1
"لما تنزل منشور ويجيب 3 اعجابات
كياف تتخلضر من أبشهره",0,0,1
"Beie
حلفت الس
٤ 7٦٦
حلمت النبي
iع
مرء المائرن
مخذث بالامارات
حلمث",1,0,1
"لما اخر العنقود يكون متحكم بكل البيت
",0,0,1
"البال ضايق والصدر صار مهموم والقلب يشكي من أمور كثيره 
حظي مع الأيام ماعاش في يوم كل الليالي انقهر بالف حيره",0,0,4
"-ايه داا اللون دا يجنن  ومش متكرر عندي 
*لما اروح*",0,0,1
"هنزل اقعد شوية على القهوه استنيني متناميش

نمتي؟

...",0,0,1
ولادي بعد ما تنمرت على نص الكوكب ,0,0,1
"لما ابعتله استيكرز بوسه وحضن
-..
انا بقيت باد جيرل",0,0,1
"لما تتعلق بحد ويتأخر عليك ف الرد 5 ثواني ...
أهو بدأنا قلة الإهتمام",0,0,1
"عايزينك تصورنا بالايفون يا جابر
770?7 50?15105101 هن
كم جابد
مققققك",1,0,1
"يا حيوان يا كلب هتخلص النت
",0,0,1
"كلهم هايلبسوا فى العيد بنطلون كارجو وتيشرت اوفر سايز 
الاوتفيت بتاعى",0,0,1
"لما اصحابي يقعدوني في كافيه الشاي فيه ب 50 جنية
837801
قالك اني مستثمو اجنبي حسابات في بنوك سويسدا",0,0,1
"ما د | اخنبب لما تطبخ الاحل ت م ع =
٥vزرئر:ب",0,0,1
لآ أضيف السمينات ولآ اعتذر,1,1,5
"لما تبقي زعلانه منك وعايز تصالحها بس انت دكتور صيدله
",0,0,1
"اكتر واحد رامز زودها معاه عشان غلبان ومش بتاع مشاكل
لازم تبقي شرشوح عشان يخافوا منك",0,0,1
"هه ازاي اقدر احول 20 مليون دولار
 موجودين في دماغي لحسابي في البنكج ",0,0,1
"مستغرب ليه مش مكون علاقات في الجامعه

*انا بعد المحاضره
اطلع بينا على البيت  بسرعه يا اسطى",0,0,1
"في الابتدائية
يارب اوائل 
في الإعدادية
يارب جيد
في الثانوية
يارب مقبول
في الجامعة 
اي حاجة يارب",0,0,1
"لبه
انا لست بخير ولكني سأبتسم
ندام
عشان انت وسخ وعايز تشمت فيا",0,0,1
"أنا بعيط لما بتعصب ليه ؟
ماانا بتعصب عشان انا ليا حق أقوم اعيط ؟ 
طب لييييه ما انا ليا حق !",0,0,1
"لقد كنت اعاني  من الكسل والخمول عند الذهاب الى المدرسه

ولاكن بعد ان صفقت 3 صقفات اصبحت انشط بكثير",0,0,1
"النا س بتورث الفلوس من اهلها 
اللي انا ورثته :",0,0,1
- لما اندمج في الدعاء اوى والاقي نفسى بقول يارب بالله عليك....,0,0,1
"الصبح
بعدالمغرب",0,0,1
"لما اسمع اذان الفجد النهاردة..

اااااااااه",0,0,1
"المسؤولين العرب بعدما يخرو على شعبهم و حان الآن موعد إيجاد أي شيء لإرضاء الشعب القضية الفلسطينية
",1,0,0
بهذه المفومة سوف تسمولاقصى دوجات الإيمان,1,0,1
"مش ناوي تنجوز بقر علشان نفرح
فامل مش
وهوانا المسؤول عن هرمون السعادة يعني ما تفرح يا عم عادي هو جد ماسكك",0,0,1
"الحمد الله ذاكرت خمس , دقايق
FZMD MseLحY
أمسك الموبايل بقى",0,0,1
"انا قاعد احلق*
واحد لا يعرفني ولا اعرفو من المرايا حق الحلاق:",0,0,1
- مطلوب بحث وهتتقسموا لجروبا..,0,0,1
لما تفتح علبة الايس كريم اللي في التلاجة فتلاقي فيها مخلل,1,0,1
"شك ايه بس يا حبيبي انا معرفش يعنيايه شك اصلا
انا  برضو:
أنا وبراقبه منمعطر السد يلي هديته ياه
1ik0} Cmanroud ni5a",0,0,1
لما تتخانقوا تقوليله روحني 9 تلاقيه بيروحك بجد,0,0,1
انت ياض جايب البرود والثبات الانفعالي د٥ كله منين,0,0,1
"احنا في عصر، تفتيح المخ 
طب ما لو هو كدا، ليه بتقفل مخك بالهباب دا؟
بالعكس، دا انا بدهبزه وابهرزة عشان يبرعش ويحنكش ويبقي اخر طعطعه ",0,0,1
"لما ارفض عريس وامي تسألني رفضته ليه
-: ...
مش حساه",0,0,1
"انا محتاجه الكتاب ده جدًا
ازاي ترد علي الكلام الحلو",0,0,1
"ليه هنمسك ف اللي غايب مش من قله الحبايب .
4001 انا
اللي غايب",0,0,1
"أهل مصر عند إخراج زكاة الفطر

حبيبي با أبوحنيفه


أهل مصر عند حكم المو سيقى

حبيبي يا ابن حزم


أهل مصر عند رسم ذوات الارواح
 
حبيبي يا مالك


أهل مصر عند الرؤية الشرعية 
حبيبي يا ابن حنبل",1,0,1
"الولد بيلبس هدوم عمه !! 
اليزابث ما بترميش حاجة
 صورة حصرية من قصر برمنجهام",1,0,1
"طب يا بنتي نقرا فاتحه وادي نفسك فرصه يمكن تحبيه
خالي
ماما
اختي
بنت خالتي",0,0,1
فاكره لما قولتيلي انا داخله اصالحكم وارجعكم لبعض,0,0,1
لسه مروح من الحضانه وبقاله ساعتين نايم كده نقنعه ازاي انه لسه باقيله ١٧ سنه تعليم و بعدين يشتغل,0,0,1
"لما الحياة تمشيك على كيفها
",0,0,1
"بالفيديو أقمار صناعية ترصد كائنات فضائية في مصر

نزلتي من غير مكياج وفضحتينا  يا كلبة",0,1,3
"العروض العسكرية الجيدة حول العالم
الصين 
الولايات المتحدة الأمريكية 
ألمانيا ""لماكان عندها جيش""
جمهورية مصر العربية ",1,1,3
لما تكوني بتحبي قرد بس انتي شايفتيه غزال بس الحقيقة انتي اللي غزال,0,0,1
"الامهات
بالله عليك كيف عرفت كلمة السر",0,0,1
"الشغالة
مراتى الفيمنست اللي اعلى من انها تشتغل شغل البيت وطلبت نجيب شغالة",1,1,3
"لما تقولك أنها رايحه تعمل جلسه ليزر وتحاول تعمل نفسك فاهم
انت :
طب وليه ليزر ما انتي نظرك حلو",0,0,1
لما تروح الامتحان وتقعد زي الكرسي اللي انت قاعد عليه بالظبط,0,0,1
الفلانتين قرب وانا وانتى سنجل ف هااااه,0,0,1
"مراحل تطور المراهقين
البداية كذا يحط لك افتار من انمي ماقد تابعه بيوريك انه عنده ذوق وكذا
هنا وصل لمرحلة الحنكة يطبل لعمله واذا خالفت رأيه يقذفك وقدوته احمد الكيال
هنا بدأ يشوف افلام واي فلم يشوفه يصير شخصيته وكذا يقعد كل يوم له شخصية
هنا بدأ يطفش من الأفلام وبدا يسمع لطلال واي مغني يعجبه وينشر ستوريات حزينة ويشغلك بالخاص كل شوي يرسلك اغنية ويقول اسمعها
هنا أقوى مرحلة صار عالم دين وفلسفة وفيزياء ومستحيل تدخل معه نقاش وماتخسر وكل شوي يحط لك اقتباس من واحد عمرك ماسمعت عنه
",1,0,1
"لما اهلك يعترفون بالانمي  وابوك يتابع معاك الانمي ويشتري لك كل الاشياء الي متعلقة بالانمي

فيا كورونا صح الطبيب قال هموت امتى",0,0,1
"لما تكون عم تسمع الدرس وتجي عينك بعين رفيقك:
",0,0,1
"بابا بيشكي من غلاء الاسعارو بيقول الاسمنت والدهب غليوا 
أنا:
ده المولتو بقت ب 8 جنيه",0,0,1
" لغلاء المعيشي      الرواتب  
     
الكهرباء والماء

المتظاهرين للعدانية

الدحابشة و أصحاب البسطات
",1,0,1
"لما تتضارب مع طالب بالمدرسة ويجي وقت الرواحة 

انت جنب البوابة:

ياسلام ممر شرفي",0,0,1
"مصر انجبت اثنين طه حسين في الادب ومرتضى منصور في قله الادب
عديم الأدب العربى",1,1,3
"عيال اختي
خا التو اصحي أحنا جينا عندكم",0,0,1
الراجل ده هندى وعايش في السعوديه وكل واحد يشوفه يتصور معاه وهو مش عارف ليه,1,0,1
"عاجل
شاهد الزعيم عايش ولم يمت ويحرك حواجبه

العفافيش",1,0,0
"لأ انا هبطل اغير علبه خلاص كل واحد حر
بيبوس بنت اخته الصفيرة ""
ضحلتنا",0,1,3
"شحاتين زمان لما كان حد يقلهم الله  كريم مابش

 تحياتي

شحاتين هذه الايام لما تقلهم  الله كريم",0,0,1
الساعة عديت 5 الفجر والشمس طلعت والناس نامت انا بقي منمتش زيهم  ليه..,0,0,1
"الست الشاطرةهى اللى تخلى جوزها يمشى يكلم نفسه

ابسلوتليييي 

مش يمشي يكلم ستات",0,0,1
"أمي لما تشوف مسلسل:

امي
الاطباق والستاير اللي فى المسلسل اللي عندنا زيها

احداث المسلسل",1,0,1
عندما يجبرك والدك الي التحدث لعائلتك لتهنئهم بعيد  الفطرالمبارك,0,0,1
"
السمبنة وحظر المخالفين

الرد بالحجة والدليل واحترام الرأي الآخر

*Nour Mashlah",1,0,4
كل ده ليتر بوكس وانتي جايبلي واحد صغير بتضحك عليا,0,0,1
"هوالجيل دا فعلا حضركل حاجه كان ناقصه حرب ويبقي حضر كل حاجة
",1,0,0
"بعد ما أخد رأي مصر كلها
يلا عشان هعمل اللي في دماااغي",0,0,1
لما أكون بتكلم علي حد وألف الاقيه ورايا..,0,0,1
"لما أتكلم مع ماما وأقولها أنا تعبت وزهقت = ماما ....
تعبتي من ايه!من الموبايل والنوم",0,0,1
"لما تبقي مخطوبه جديد ويقولك كلام حلو و متعرفيش تردي
..

ربنا يحميك لشبابك",0,0,1
"السيسى يو جة نداء للمرأة المصرية ""من فضلك اقفى جنب مصر""
 - لأ مش هقف
-  لية؟
= أنا حرة كدة مش هقف",1,0,1
"صاحبتي : اقولك علي خبر حلو يفرحك =اتحفيني
انا جالي عريس
ورفضته",0,0,1
"ملحد:""سأفتح صفحة فيسبوك و أقضي على الاسلام"" 
*الإمبراطورية الفارسية* 

*الإمبراطورية الرومانية*

*الإمبراطورية التتارية*

*الحملات الصلبية*
",1,0,1
"لما تكون تافه و تخترع منتج :
",0,0,1
"الساعة 3 الفجر الناس كلهم راقدين
 
البرشلوني : 


يلا قدوه وقت مباراة انتر ميامي ضد نيويورك يانيكز
",0,0,1
"لما اقول لماما اني خارجة وبعدين اقولها خلااص مش خارجة * ماما *
قالك لاء اناا هجيبوو يعيش معانا عشان يربيكى",0,0,1
"يا حاج مارك والنبي ساعة الاكونت دبع امسح اللي عشان بس غلية
hOSB dثlج",1,0,1
"تصدقواا.  هتصدقوا أن شاء الله انا ولا ليا .. ف تعليم ولا جواز ولا شغل
 انا عايزة ابقى زي ""بطه جدو على"" تقوم من النوم تغطس وتعوم وهات يا لعب",0,0,1
"لما تكوني متخانقة مع اختك وتقابلنا في المطبخ بليل
=
هتحمري  بطاطس ؟
هتاكلي؟",0,0,1
اليوم خصر الخروف بكرا خصرك يا حلوة,0,1,6
"جولدا مائير مش حرام تضربنا يوم عيدنا وانت صايم
الوحش
مانا كنت بضرب واستغفر وأدينى عيدت عليكو",1,1,3
هو ده الحضن اللي الواحد محتاجه.,0,0,1
"جالح ٨ عدهج <  د2د اق ملكع لا_ ممذات ت
دعو 45:ور2 1n
مجمم انء [ مد ان هق القم معان مجتفحم آما م",1,1,7
"تقف النساء في الأربعينات حائرات بين:
- عيب يا حبيبي أنت قد ابني ؟
 - عيب ي حاج انا قد بنتك ! 
- طنط مين ياجزمة !",1,0,1
لما تمشي من جنب مركزدار الايتام وتسمع الحارس يقلك مسرع كبرت :,0,0,1
احلى تخزينة في عَصِر مع حبيب القلب جو أوروبي,0,0,1
حسام المنطوي اما يدرك انه مشي ١٠٠ كيلو زيادة عشان يوصل للسوبر ماركت عشان ميعديش من قدام ناس تصدر عليه احكام بشكل سطحي,0,0,1
"-لما تكونوا خارجين مع بعض وتلاقيها بتمسك ايدك وتقولك اسفه ب الغلط
استعبطي ياختي استعبطي",0,0,1
"لما تكوني مخطوبة جديد وخطيبك معزوم عندكم في رمضان

",0,0,1
"صاحبك ده لما يذاكر

ما تحول فنون جميلة يسطا طالما بتحب التلوين ده",0,0,1
"لما اقولهم في البيت اني مكتئب
Me
*أهلي*
وإنت بقي عندك كام سنة يا عيل إنت عشان تكتئب",0,0,1
خدوا البطا طس 0 والطماطم لكن خلؤلى الوطن,0,0,1
اعتذل ما يؤذيك انا: طب اشتمهم الاول وبعدين اعتذلهم 9 النبي,0,0,1
"نمسهاقا ثشدا
٦ر   ر
ج0 لمآ
قسما بالله الي هيبعتلي دسايل وفديوهات ب الى علي السانجر تافي عشان العيد وال مبفر عمaا٤ا 1oكa
ر٢ عدراتنت
٦رب تلن دنتمما-
77
ل اشيله من عاي وش الاكونت واعمله بلوك",1,0,1
"خروج الرجل المصري من التصنيف العالمي للجمال
=  وهوكان جوه بيعمل إيه أصلاً!",1,0,1
سوري بتفاخر انو بلدو فش فيها كورونا * تشيك*,1,0,1
"Maria George Wednesday at 10:40 PM
- أول ما أوصل الشفل :
صباح الخيد هنروح إمتى؟ ؟",0,0,1
"بقوم من السرير بعد 10 ساعات نوم
أنام على الكنبة بقى",0,0,1
"لما حد يعرف اني مبحبش عصير القصب :
مبتشربيش القصب !",0,0,1
يا بني آزعل بس آستنضف الناس اللي تزعل عليها,0,0,1
"هناك اقاويل عن توليك منصبووزير الأوقاف.. تفتكرهيختاروك ليه؟


عشان انا أحرص واحد على دين أمى ودين أمك ودين أبونا كلنا ",1,0,1
"شكلها مزعلا
بس ه9 بيحبها",0,0,1
"سبتمبر 1962: محمد البدر ملكاً لشمال اليمن. 
تنظيم الضباط الاحرار:
Sup bro",1,0,1
صباح الخيد ياماما امي :,0,0,1
"لما يجي عندكم ضيف من البلاد ويسلم عليك
*أنت*
*يدك*",0,0,1
"شخص يدعي أن الإلحاد جاء لتخليص الناس من التشدد والصراع بين الأديان

[جرائم الإتحاد السوفياتي في عهد ستالين ",1,0,0
"انا الصبح قاعد ا لتخ د بتذكو انو مستقباب يعتمد علب بىس
@3yerزaw",0,0,1
أملكي قلبه بإسلوبك الرقيق ونظرتك البريئة وخجلك الزائد,0,0,1
"لما تلاقى واحد بدقن رايح ناحية اللجنة بتاعتك


ايه هوفى كتب كتاب فاللجنة يا مولانا",0,0,1
الحمد لله شبعت إقعدي ذاكري بقى ايه ده جوعت تاني,1,0,1
"بكره الاسعار هتنزل والعيشة هتبقى فل يابا
انت رجعت للبرشام تاني ياعلي",0,0,0
"لما الأكس يبقى خاينك ومنزل بوست ""ما أكرمهن إلا كريم وما أهنن إلا لئيم""
-...

ابليس انت بتعيط؟",0,0,1
"لما الاقي قطه نازلة تجري ع السلم
أرادل_ مجلو الدما
I
اغلب 6:48
بلنه اللعبة
مجنون
السناا عنب",0,0,1
- الخلايلة: بس عرفوا انه ما في صلاة عيد مع انه المساجد كانت مسكرة طول رمضان,1,0,0
"اللي بكلمه بيقولي صوتك بيقطع اقف في حتة فيها شبكة 
انا متحركتش من مكاني :
تمام كده",0,0,1
"-يا بنتى ادخلى اقفى معاهم ف المطبخ اتعلميلك حاجه
=ساموعليكو ي ماماا السلطه فين",0,0,1
"ياريت يا جماعة لوحد عايز يقولي حاجة يقول علشان اليوم قرب يخلص
",0,0,1
"AفسلOA
بعد العيد اتوكع بداية انفجاري التعليمي",0,0,1
"*لما ولد يقعد يهزر ويسلم على البنات وبعدكده يجي ناحيتي*

ايدك لتوحشك بسرعه",0,0,1
"علماني ليل نهاريتكلم عن حرية المرأة في  التعري والدعارة وبينام مع الفيمنستات سمع مسلم بيتكلم عن الحشمة.
 هو:
على فكرة

أنت مهووس جنسيًا",1,1,3
"لما يحصلي مصيبه والاقي البيست فريند قافله
رنوا عليها
شوفوها فيييييين
بيستاااي",0,0,1
"شحال الكيلو ديال البطاطا؟

3 كيلوب 160 ريال و جوج كيلو ب 5 دراهم

شحال الكيلو ديال البطاطا؟",0,0,1
"انا امزح فقط ربما اسأت فهمي
لا تكثر كلام اين تعيش سنحلها بالعنف",1,1,2
"هتعرفي يبنتي تفتحي معاه كلام بمناسبه العيد متقلقيش يبنتي هبهرك
=
اعصابي بتفور ما تحن يا بيتيفور",0,0,1
لا نناقش بعقل لأننا لا نملكه ,1,1,3
